Matriz,Zona ,Lugar de Muestreo,Punto de Monitoreo,Barrido,Fecha,Hora,Altitud(msnm),latitud,longitud,Caudal (L/s),pH,Temperatura Ambiente (°C),Temperatura Muestra (°C),Oxígeno disueltomg O2/L,DQOmg O2/L,DBO5mg O2/L,Conductividad(25 °C)µs/cm,Fósforo Totalmg P/L,Nitrógeno Totalmg N/L,Nitrógeno Total Kjeldahlmg N/L,Nitratosmg NO3  N/L,Nitritosmg NO2  N/L,Grasas y Aceitesmg/L,Sólidos suspendidos Totales mg/L,Sólidos suspendidos volátiles mg/L,Sólidos Totalesmg/L,Turbidez NTU,Fenolesmg Fenol/L,Cromomg Cr /L,Cianuro mg CN/L,Mercuriomg Hg/L,Sulfurosmg S2/L ,Coliformes TotalesNMP/100 mL,Coliformes FecalesNMP/100 mL,ÍNDICE DE CALIDAD DE AGUA ICA,Tramo Acuerdo 39 de 2015,Longitud del tramo (Km)
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada La Iglesia,QLI-B-03,04/01/2015 12:00:00 AM,2015-04-16T00:00:00,10:00am.,846,"  7° 5'35.55""N"," 73° 7'9.84""W",307,7.74,24.2,22.4,3.27,283.0,123,458,0.8,29.08,-,0.11,-,28.9,463,134.0,689,387,-,-,-,-,-,9200000,9200000,0.17,QLI-B-03 /  QLI-B-03_QLI-B-02,6.556000000000001
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada el Macho,QM-B-01,04/01/2015 12:00:00 AM,2015-04-16T00:00:00,10:40am,827," 7° 5'30.18""N"," 73° 7'18.08""W",0.561,7.42,29.2,26.1,7.88,91.5,35.3,336,0.7,6.91,-,0.32,-,<6.3,<10,<20,188,39,-,-,-,-,-,540000,240000,0.34,QMB-B-01,0.158
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada la Guacamaya,QG-B-01,04/01/2015 12:00:00 AM,2015-04-16T00:00:00,12:20pm,845,"  7° 5'33.63""N"," 73° 7'23.76""W",9.108,7.4,21.3,23.2,0.72,653.0,267,683,2.2,46.87,-,1.61,-,23.9,316,228.0,773,142,-,-,-,-,-,24000000,24000000,0.14,QG-B-01,0.083
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada La Iglesia,QLI-B-02,04/01/2015 12:00:00 AM,2015-04-16T00:00:00,2:35pm,743,"  7° 4'58.93""N"," 73° 9'8.89""W",201,7.75,29.1,23.4,1.33,454.0,269,437,1.6,24.64,-,0.26,-,<6.3,1800,324.0,1900,>1000,-,-,-,-,-,3500000,3500000,0.14,QLI-B-03_QLI-B-02 /  QLI-B-02_QLI-G-01,6.853
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada el Carrasco,QC-B-01,04/01/2015 12:00:00 AM,2015-04-16T00:00:00,2:30pm,758,"  7° 4'58.23""N"," 73° 9'9.33""W",1.993,8.65,29,25.6,0,5635.0,2657,18900,0.7,1448.62,-,0.63,-,<6.3,103,168.0,11920,>1000,0.84,0.562,-,-,-,24000000,24000000,0.24,QC-B-01,0.02
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada La Iglesia,QLI-G-01,04/01/2015 12:00:00 AM,2015-04-16T00:00:00,3:50pm,710,"  7° 4'45.36""N"," 73°10'11.15""W",383,7.67,30.6,24.7,3.27,206.0,72.6,727,0.6,38.62,-,0.13,-,<6.3,162,58.0,514,149,-,-,-,-,-,4900000,4900000,0.23,QLI-B-02_QLI-G-01,2.296
Red Calidad Agua,Río Frío y Afluentes,Quebrada Aranzoque,QAZ-F-02,04/01/2015 12:00:00 AM,2015-04-20T00:00:00,11:20am,913,"  7° 5'5.92""N"," 73° 5'2.73""W",159,7.66,23.2,21.7,3.99,28.1,7.7,360,<0.15,7.08,-,0.39,-,<6.3,34.5,<20,253,17.1,-,-,-,-,-,130000,130000,0.34,QAZ-F-02_QAZ-F-01,3.484
Red Calidad Agua,Río Frío y Afluentes,Quebrada Aranzoque,QAZ-F-01,04/01/2015 12:00:00 AM,2015-04-20T00:00:00,10:30am.,819," 7° 3'28.82""N"," 73° 6'18.48""W",176,7.74,29.2,22.7,7.17,<15,8,258,0.2,8.95,-,1.86,-,<6.3,<10,<20,182,3.74,-,-,-,-,-,17000,13000,0.29,QAZ-F-02_QAZ-F-01,3.484
Red Calidad Agua,Río Frío y Afluentes,Quebrada Zapamanga,QZA-F-02,04/01/2015 12:00:00 AM,2015-04-20T00:00:00,8:15am.,897,"  7° 3'25.31""N"," 73° 4'58.74""W",60,7.96,19.5,18.9,7.37,<15,7.5,210,0.2,<4.0,-,0.92,-,<6.3,61,23.6,230,41.4,-,-,-,-,-,17000,17000,0.41,QZA-F-02_QZA-F-01,6.021
Red Calidad Agua,Río Suratá y otras corrientes,Quebrada Soratoque,QSO-P-01,04/01/2015 12:00:00 AM,2015-04-14T00:00:00,4:00pm,987,"  6°59'27.90""N"," 73° 3'26.87""W",19,7.2,28.7,22.4,5.73,20.4,5.8,370,0.4,<4.0,-,0.12,-,<6.3,<10,<20,240,1.65,-,-,-,-,-,35000,35000,0.39,QSO-P-01 _QP-P-01,0.34
Red Calidad Agua,Río Suratá y otras corrientes,Quebrada La Palmira,QP-P-01,04/01/2015 12:00:00 AM,2015-04-14T00:00:00,4:30pm,997,"  6°59'26.21""N"," 73° 3'34.26""W",20,7.43,25.4,22.4,5.63,23.7,6.7,277,0.3,<4.0,-,0.65,-,<6.3,<10,<20,185,2.68,-,-,-,-,-,24000,24000,0.26,QSO-P-01 _QP-P-01,0.34
Red Calidad Agua,Río Frío y Afluentes,Quebrada Zapamanga,QZA-F-01,04/01/2015 12:00:00 AM,2015-04-20T00:00:00,1:40pm,779,"  7° 3'54.54""N"," 73° 7'10.46""W",92,7.68,27.6,23.8,5.63,23.3,7.6,285,0.5,<4.0,-,1.09,-,<6.3,10.5,<20,210,5.81,-,-,-,-,-,130000,130000,0.38,QZA-F-02_QZA-F-01,6.021
Red Calidad Agua,Río Suratá y otras corrientes,Quebrada Las Nieves,QN-G-01,04/01/2015 12:00:00 AM,2015-04-14T00:00:00,5:45pm,713,"  7° 3'58.97""N"," 73°10'3.13""W",0.185,7.95,26.7,26.1,6.55,<15,<2.0,626,<0.15,<4.0,-,0.2,-,<6.3,13.7,<20,399,7.46,-,-,-,-,-,7900,7900,0.46,QN-G-01,0.053
Red Calidad Agua,Río Frío y Afluentes,Río Frío,RF-F-04,04/01/2015 12:00:00 AM,2015-04-20T00:00:00,9:10am,975,"  7° 4'4.58""N"," 73° 4'29.57""W",165,7.57,20.4,18.4,6.65,<15,4.7,88.8,<0.15,<4.0,-,0.33,-,<6.3,27.7,<20,108,14.3,-,-,-,-,-,7900,7900,0.54,RF-F-04_RF-F-03,5.794
Red Calidad Agua,Río Frío y Afluentes,Río Frío,RF-F-03,04/01/2015 12:00:00 AM,2015-04-20T00:00:00,12:30pm,786,"  7° 3'53.50""N"," 73° 7'10.95""W",318,7.76,27.7,23.5,7.47,22.5,9.1,200,0.4,<4.0,-,0.94,-,<6.3,40.6,<20,192,24.8,-,-,-,-,-,92000,92000,0.43,RF-F-04_RF-F-03 / RF-F-03_RF-F-02,6.763
Red Calidad Agua,Río Frío y Afluentes,Río Frío,RF-F-02,04/01/2015 12:00:00 AM,2015-04-20T00:00:00,2:00pm.,764,"  7° 3'54.12""N"," 73° 7'31.19""W",223,7.7,28.8,25.7,5.53,53.8,15.9,255,0.5,5.71,-,0.68,-,<6.3,38.6,<20,211,17.9,-,-,-,-,-,1600000,1600000,0.35,RF-F-03_RF-F-02 / RF-F-02_RF-G-02A ,4.58
Red Calidad Agua,Río Frío y Afluentes,Río Frío,RF-G-01,04/01/2015 12:00:00 AM,2015-04-20T00:00:00,3:35pm,701,"  7° 3'53.70""N"," 73° 9'54.01""W",1474,7.67,28.5,27.3,1.54,161.0,55.7,710,1.7,37.28,-,0.11,-,10.2,86,58.0,433,45.4,-,-,-,-,-,9200000,9200000,0.25,RF-G-02A_RF-G-01,2.608
Red Calidad Agua,Río Suratá y otras corrientes,Río Suratá,RSA-B-02,04/01/2015 12:00:00 AM,2015-04-15T00:00:00,2:05pm,658,"  7° 9'28.88""N"," 73° 7'45.38""W",2156,7.93,27.5,21.5,5.73,31.6,6.4,209,0.2,<4.0,-,1.34,-,<6.3,166,25.2,286,122,-,-,0.01,<0.0019,-,17000,17000,0.39,RSA-B-02_RSA-B-01,2.28
Red Calidad Agua,Río Suratá y otras corrientes,Río Suratá,RSA-B-01,04/01/2015 12:00:00 AM,2015-04-15T00:00:00,3:15pm.,617,"  7° 9'58.10""N"," 73° 8'35.70""W",5306,7.84,26,21.8,7.17,23.5,5.5,209,0.2,<4.0,-,2.02,-,<6.3,96.6,25.0,233,63.7,-,-,<0.005,<0.0019,-,170000,130000,0.48,RSA-B-02_RSA-B-01,2.28
Red Calidad Agua,Río de Oro,Río de Oro,RO-P-07,04/01/2015 12:00:00 AM,2015-04-15T00:00:00,8:00am,1026,"  6°59'23.24""N"," 73° 2'26.97""W",743,7.47,21.1,16.3,7.78,17.8,3.8,108,"<0,15","<4,0",-,1.47,-,"<6,3",38.6,20.0,110,26.5,-,-,-,-,-,2000,2000,0.49,RO-P-07_RO-P-06,3.977
Red Calidad Agua,Río de Oro,Río de Oro,RO-P-06,04/01/2015 12:00:00 AM,2015-04-15T00:00:00,10:10am,911,"  6°58'5.63""N"," 73° 3'37.30""W",1090,7.41,21.3,18.3,6.14,67.2,17.6,175,0.4,6.03,-,0.2,-,13.4,33.3,<20,149,21.6,-,-,-,-,-,350000,350000,0.39,RO-P-07_RO-P-06 / RO-P-06_RO-P-06A,8.03
Red Calidad Agua,Río de Oro,Río de Oro,RO-G-05,04/01/2015 12:00:00 AM,2015-04-15T00:00:00,11:20am,733,"  7° 1'41.00""N"," 73° 9'54.08""W",1720,7.44,25.9,23.2,5.53,34.0,13,319,0.9,6.44,-,0.2,-,<6.3,62.6,20.0,237,50.6,-,-,-,-,-,920000,540000,0.36,RO-G-05_RO-G-04,3.127
Red Calidad Agua,Río de Oro,Río de Oro,RO-G-04,04/01/2015 12:00:00 AM,2015-04-16T00:00:00,8:20am,719,"  7° 2'55.60""N"," 73°10'4.04""W",1595,7.4,22.5,22.2,5.53,<15,8.2,247,0.6,5.56,-,0.14,-,<6.3,18,<20,169,15.6,-,-,-,-,-,33000,33000,0.4,RO-G-05_RO-G-04 / RO-G-04_RO-G-03,10.026
Red Calidad Agua,Río de Oro,Río de Oro,RO-G-03,04/01/2015 12:00:00 AM,2015-04-16T00:00:00,9:35am,653,"  7° 5'52.72""N"," 73°10'20.48""W",4141,7.67,26.7,24.9,0,205.0,82.4,571,1.7,27.97,-,0.16,-,17.1,192,112.0,432,110,-,-,-,-,-,9200000,5400000,0.23,RO-G-04_RO-G-03 / RO-G-03_RO-B-02 ,10.783999999999999
Red Calidad Agua,Río de Oro,Río de Oro,RO-B-02,04/01/2015 12:00:00 AM,2015-04-16T00:00:00,11:11am,653,"  7° 7'31.56""N"," 73° 9'39.31""W",5632,7.64,25.4,25.8,0.31,141.0,57.6,707,0.5,39.56,-,0.18,-,13.1,94,32.0,409,69.2,-,-,-,-,-,5400000,3500000,0.28,RO-G-03_RO-B-02 / RO-B-02_RO-B-01 ,9.171
Red Calidad Agua,Río de Oro,Río de Oro,RO-B-01,04/01/2015 12:00:00 AM,2015-04-16T00:00:00,12:38pm,615,"  7° 9'57.14""N"," 73° 8'38.93""W",4178,7.61,30.9,27,0.51,231.0,63,659,1.4,33.41,-,3.72,-,<6.3,254,71.0,516,102,-,-,-,-,-,130000,79000,0.22,RO-B-02_RO-B-01,5.286
Red Calidad Agua,Escarpa,Quebrada Chimitá,QCA-B-01,05/01/2015 12:00:00 AM,2015-05-05T00:00:00,3:19pm,689,"  7° 5'47.94""N"," 73° 9'56.19""W",602,8.03,31.3,28.7,3.48,193.0,77.5,789,0.7,37.6,-,0.24,-,< 6.3,284,54.0,653,122,-,-,-,-,-,16000000,16000000,0.2,QCA-B-01,0.778
Red Calidad Agua,Escarpa,Quebrada Cuyamita,QCY-B-01,05/01/2015 12:00:00 AM,2015-05-05T00:00:00,4:10pm,673,"  7° 6'38.29""N"," 73° 9'39.13""W",15,8.08,28.3,26.3,4.09,123.0,40.4,915,1.5,46.21,-,0.16,-,< 6.3,69,25.0,474,21.8,-,-,-,-,-,220000,220000,0.28,QCY-B-01,1.089
Red Calidad Agua,Escarpa,Quebrada Las Navas,QLN-B-01,05/01/2015 12:00:00 AM,2015-05-05T00:00:00,4:50pm,650,"  7° 8'15.31""N"," 73° 9'11.20""W",103,8.01,27.5,24.3,4.09,56.9,17,614,1.2,27.49,-,1.23,-,< 6.3,< 10,< 20,284,3.68,-,-,-,-,-,24000,24000,0.23,QLN-B-01,0.24
Red Calidad Agua,Escarpa,Quebrada Chapinero,QCH-B-01,05/01/2015 12:00:00 AM,2015-05-05T00:00:00,5:32pm,657,"  7° 8'32.04""N"," 73° 9'5.63""W",86,8.08,23.7,24.3,4.91,180.0,77.6,777,1.4,35.27,-,0.14,-,< 6.3,65,28.7,415,20.3,-,-,-,-,-,9200000,2800000,0.3,QCH-B-01,0.548
Red Calidad Agua,Escarpa,Quebrada La Picha,QLP-B-01,05/01/2015 12:00:00 AM,2015-05-05T00:00:00,6:22pm,659,"  7° 8'55.76""N"," 73° 8'56.34""W",52,7.43,27.6,33.2,2.66,99.2,34,505,1.2,23.48,-,0.16,-,9.4,45,< 20,286,9.03,-,-,-,-,-,920000,920000,0.27,QLP-B-01,0.188
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada La Flora,QLF-B-01,05/01/2015 12:00:00 AM,2015-05-05T00:00:00,,1009,"  7° 7'9.27""N"," 73° 6'17.28""W",5.89,8.06,25.2,20,5.93,56.1,14.8,403,0.7,7.12,-,1.29,-,< 6.3,26.5,< 20,287,13,-,-,-,-,-,1300,1300,0.37,QLF-B-01,1.893
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada la Cascada,QLC-B-01,05/01/2015 12:00:00 AM,2015-05-05T00:00:00,9:45am.,947,"  7° 6'18.14""N"," 73° 6'18.88""W",18,7.81,23.8,22.1,5.32,<15,4.6,409,0.2,6.31,-,1.41,-,<6.3,<10,<20,272,1.58,-,-,-,-,-,110,110,0.48,QLC-B-01,0.402
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada La Iglesia,QLI-B-03,05/01/2015 12:00:00 AM,2015-05-05T00:00:00,10:50am.,846,"  7° 5'35.55""N"," 73° 7'9.84""W",178,7.89,31.6,25.4,0,429.0,174,849,1.5,55.85,-,0.14,-,18.7,196,62.0,581,120,-,-,-,-,-,2200000,2200000,0.17,QLI-B-03 /  QLI-B-03_QLI-B-02,6.556000000000001
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada el Macho,QM-B-01,05/01/2015 12:00:00 AM,2015-05-05T00:00:00,,827," 7° 5'30.18""N"," 73° 7'18.08""W",5.93,7.65,28.7,27.6,5.73,46.3,17.6,433,1.0,11.71,-,0.33,-,< 6.3,16.7,< 20,265,3.79,-,-,-,-,-,13000,13000,0.35,QMB-B-01,0.158
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada la Guacamaya,QG-B-01,05/01/2015 12:00:00 AM,2015-05-05T00:00:00,,845,"  7° 5'33.63""N"," 73° 7'23.76""W",11.98,7.49,24.4,25,0,381.0,135,681,0.5,26.35,-,0.11,-,30.9,113,67.0,513,91.2,-,-,-,-,-,9200000,9200000,0.2,QG-B-01,0.083
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada La Iglesia,QLI-B-02,05/01/2015 12:00:00 AM,2015-05-05T00:00:00,2:00pm.,743,"  7° 4'58.93""N"," 73° 9'8.89""W",276,8.1,33.1,25.4,5.73,94.3,30.2,689,1.1,22.44,-,0.1,-,< 6.3,20.7,< 20,380,10.8,-,-,-,-,-,92000,92000,0.33,QLI-B-03_QLI-B-02 /  QLI-B-02_QLI-G-01,6.853
Red Calidad Agua,Escarpa,Quebrada La Picha,QLP-B-01,11/01/2015 12:00:00 AM,17/11/2015,,659,"  7° 8'55.76""N"," 73° 8'56.34""W",14.4,7.69,27.5,25,1.3,326.0,136,794,4.1,21,-,9.92,-,10,1850,230.0,4200,840,-,-,-,-,-,1600000,920000,0.14,QLP-B-01,0.188
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada el Carrasco,QC-B-01,05/01/2015 12:00:00 AM,2015-05-05T00:00:00,,758,"  7° 4'58.23""N"," 73° 9'9.33""W",2.05,8.4,29.1,28.8,0,7762.0,3633,23800,< 0.15,2378.08,-,2.54,-,8.7,450,290.0,13800,> 1000,1.04,0.664,-,< 0.0019,-,28000,28000,0.14,QC-B-01,0.02
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada La Iglesia,QLI-G-01,05/01/2015 12:00:00 AM,2015-05-05T00:00:00,2:55pm,710,"  7° 4'45.36""N"," 73°10'11.15""W",355,8.19,32.6,28.3,4.09,137.0,33.8,1020,1.0,43.22,-,0.13,-,< 6.3,46.7,< 20,527,21.5,-,-,-,-,-,92000,92000,0.3,QLI-B-02_QLI-G-01,2.296
Red Calidad Agua,Río Frío y Afluentes,Quebrada Aranzoque,QAZ-F-02,05/01/2015 12:00:00 AM,2015-05-08T00:00:00,11:00am,913,"  7° 5'5.92""N"," 73° 5'2.73""W",123,7.64,25.1,22.8,4.5,29.5,8.3,469,0.8,8.67,-,0.24,-,< 6.3,47,< 20,273,6.6,-,-,-,-,-,16000,9200,0.34,QAZ-F-02_QAZ-F-01,3.484
Red Calidad Agua,Río Frío y Afluentes,Quebrada Aranzoque,QAZ-F-01,05/01/2015 12:00:00 AM,2015-05-08T00:00:00,11:43am,819," 7° 3'28.82""N"," 73° 6'18.48""W",113,7.85,28.3,24.1,6.55,< 15,8,474,< 0.100,6.37,-,1.27,-,< 6.3,14,< 20,281,4.45,-,-,-,-,-,3500,1700,0.39,QAZ-F-02_QAZ-F-01,3.484
Red Calidad Agua,Río Frío y Afluentes,Quebrada Zapamanga,QZA-F-02,05/01/2015 12:00:00 AM,2015-05-08T00:00:00,12:20pm,897,"  7° 3'25.31""N"," 73° 4'58.74""W",169,7.77,30.4,24.6,6.14,20.5,6.4,322,0.4,< 4.00,-,0.92,-,< 6.3,< 10,< 20,211,2,-,-,-,-,-,3500,3500,0.39,QZA-F-02_QZA-F-01,6.021
Red Calidad Agua,Río Suratá y otras corrientes,Quebrada Soratoque,QSO-P-01,05/01/2015 12:00:00 AM,2015-05-05T00:00:00,12:05pm.,987,"  6°59'27.90""N"," 73° 3'26.87""W",14,7.54,22.3,20.3,5.73,< 15,3.9,342,0.3,< 4.00,-,1.37,-,< 6.3,< 10.0,< 20,243,1.54,-,-,-,-,-,49000,33000,0.4,QSO-P-01 _QP-P-01,0.34
Red Calidad Agua,Río Suratá y otras corrientes,Quebrada La Palmira,QP-P-01,05/01/2015 12:00:00 AM,2015-05-05T00:00:00,11:17am,997,"  6°59'26.21""N"," 73° 3'34.26""W",22,7.3,22.9,21,3.27,20.3,8.5,268,0.5,5.57,-,0.22,-,< 6.3,12,< 20,195,2.11,-,-,-,-,-,9200,9200,0.33,QSO-P-01 _QP-P-01,0.34
Red Calidad Agua,Río Frío y Afluentes,Quebrada Zapamanga,QZA-F-01,05/01/2015 12:00:00 AM,2015-05-08T00:00:00,9:00am.,779,"  7° 3'54.54""N"," 73° 7'10.46""W",43,7.85,22.7,20.1,7.37,< 15,7.7,226,< 0.100,< 4.00,-,0.84,-,< 6.3,117,< 20,278,43.2,-,-,-,-,-,270,270,0.45,QZA-F-02_QZA-F-01,6.021
Red Calidad Agua,Río Suratá y otras corrientes,Quebrada Las Nieves,QN-G-01,05/01/2015 12:00:00 AM,2015-05-05T00:00:00,,713,"  7° 3'58.97""N"," 73°10'3.13""W",0.126,7.81,32.2,24.2,4.09,< 15,2.4,593,0.2,< 4.00,-,0.15,-,< 6.3,< 10,< 20,376,5.08,-,-,-,-,-,3300,3300,0.39,QN-G-01,0.053
Red Calidad Agua,Río Frío y Afluentes,Río Frío,RF-F-04,05/01/2015 12:00:00 AM,2015-05-08T00:00:00,10:00am.,975,"  7° 4'4.58""N"," 73° 4'29.57""W",67,7.84,22.6,20.4,7.98,<15,3.6,133,<0.100,<4.00,-,0.47,-,<6.3,<10,<20,96,3.16,-,-,-,-,-,1300,1300,0.41,RF-F-04_RF-F-03,5.794
Red Calidad Agua,Río Frío y Afluentes,Río Frío,RF-F-03,05/01/2015 12:00:00 AM,2015-05-08T00:00:00,1:30pm.,786,"  7° 3'53.50""N"," 73° 7'10.95""W",507,7.89,37.5,25.2,7.57,18.8,9.8,239,< 0.100,< 4.00,-,0.87,-,< 6.3,15.7,< 20,162,6.59,-,-,-,-,-,2400,1300,0.32,RF-F-04_RF-F-03 / RF-F-03_RF-F-02,6.763
Red Calidad Agua,Río Frío y Afluentes,Río Frío,RF-F-02,05/01/2015 12:00:00 AM,2015-05-08T00:00:00,2:45pm.,764,"  7° 3'54.12""N"," 73° 7'31.19""W",135,8,32.9,26.8,6.55,18.8,8.5,244,0.5,< 4.00,-,0.84,-,< 6.3,136,28.0,266,80.6,-,-,-,-,-,24000,24000,0.36,RF-F-03_RF-F-02 / RF-F-02_RF-G-02A ,4.58
Red Calidad Agua,Río Frío y Afluentes,Río Frío,RF-G-01,05/01/2015 12:00:00 AM,2015-05-08T00:00:00,3:20pm,701,"  7° 3'53.70""N"," 73° 9'54.01""W",1155,7.65,29.4,30.3,0,160.0,65.2,853,2.7,40.75,-,0.13,-,11.5,79,24.0,462,32.3,-,-,-,-,-,540000,540000,0.22,RF-G-02A_RF-G-01,2.608
Red Calidad Agua,Río Suratá y otras corrientes,Río Suratá,RSA-B-02,05/01/2015 12:00:00 AM,2015-05-05T00:00:00,7:05am,658,"  7° 9'28.88""N"," 73° 7'45.38""W",1313,7.84,27.4,22.7,7.16,24.4,9,269,0.3,< 4.00,-,0.13,-,< 6.3,30.8,< 20,197,10.2,-,-,0.008,< 0.0019,-,35000,35000,0.39,RSA-B-02_RSA-B-01,2.28
Red Calidad Agua,Río Suratá y otras corrientes,Río Suratá,RSA-B-01,05/01/2015 12:00:00 AM,2015-05-05T00:00:00,8:17am,617,"  7° 9'58.10""N"," 73° 8'35.70""W",3031,8,22.4,26.6,7.16,26.8,8.4,254,0.5,< 4.00,-,0.27,-,< 6.3,27.2,< 20,200,11.4,-,-,<0.005,< 0.0019,-,160000,160000,0.45,RSA-B-02_RSA-B-01,2.28
Red Calidad Agua,Río de Oro,Río de Oro,RO-P-07,05/01/2015 12:00:00 AM,2015-05-07T00:00:00,8:20am,1026,"  6°59'23.24""N"," 73° 2'26.97""W",543,7.65,22.1,18.3,7.78,< 15,"< 2,0",99.2,"< 0,100","< 4,00",-,0.1,-,"< 6,3",20,< 20,77,9.59,-,-,-,-,-,45,<18,0.45,RO-P-07_RO-P-06,3.977
Red Calidad Agua,Río de Oro,Río de Oro,RO-P-06,05/01/2015 12:00:00 AM,2015-05-07T00:00:00,9:20am,911,"  6°58'5.63""N"," 73° 3'37.30""W",629,7.53,21.4,19.4,5.52,56.5,19.7,213,1.0,10.16,-,0.17,-,"< 6,3",39.3,< 20,169,9.21,-,-,-,-,-,1300,1300,0.38,RO-P-07_RO-P-06 / RO-P-06_RO-P-06A,8.03
Red Calidad Agua,Río de Oro,Río de Oro,RO-G-05,05/01/2015 12:00:00 AM,2015-05-07T00:00:00,11:00am,733,"  7° 1'41.00""N"," 73° 9'54.08""W",1320,7.6,29.8,25,6.34,26.2,9.4,352,< 0.100,13.09,-,3.05,-,< 6.3,10.5,< 20,326,2.94,-,-,-,-,-,3500,1700,0.39,RO-G-05_RO-G-04,3.127
Red Calidad Agua,Río de Oro,Río de Oro,RO-G-04,05/01/2015 12:00:00 AM,2015-05-07T00:00:00,11:40am,719,"  7° 2'55.60""N"," 73°10'4.04""W",894,7.51,31,27.4,7.16,23.8,6.2,266,< 0.100,4.94,-,3.5,-,< 6.3,33.6,< 20,203,9.94,-,-,-,-,-,<180,<180,0.29,RO-G-05_RO-G-04 / RO-G-04_RO-G-03,10.026
Red Calidad Agua,Río de Oro,Río de Oro,RO-G-03,05/01/2015 12:00:00 AM,2015-05-07T00:00:00,1:30pm.,653,"  7° 5'52.72""N"," 73°10'20.48""W",4076,7.48,33.1,29.1,0,168.0,69,516,0.4,20.55,-,0.13,-,12.2,244,53.0,475,161,-,-,-,-,-,540000,540000,0.21,RO-G-04_RO-G-03 / RO-G-03_RO-B-02 ,10.783999999999999
Red Calidad Agua,Río de Oro,Río de Oro,RO-B-02,05/01/2015 12:00:00 AM,2015-05-07T00:00:00,2:33pm,653,"  7° 7'31.56""N"," 73° 9'39.31""W",4968,7.47,35.8,29.4,2.66,118.0,33.7,493,1.4,16.88,-,0.65,-,7.1,232,45.0,483,136,-,-,-,-,-,92000,54000,0.27,RO-G-03_RO-B-02 / RO-B-02_RO-B-01 ,9.171
Red Calidad Agua,Río de Oro,Río de Oro,RO-B-01,05/01/2015 12:00:00 AM,2015-05-07T00:00:00,4:10pm,615,"  7° 9'57.14""N"," 73° 8'38.93""W",3435,7.52,36.3,30.4,3.48,84.4,23.1,440,2.0,7.75,-,0.9,-,< 6.3,183,33.0,415,98.5,-,-,-,-,-,92000,54000,0.3,RO-B-02_RO-B-01,5.286
Red Calidad Agua,Escarpa,Quebrada Chimitá,QCA-B-01,06/01/2015 12:00:00 AM,2015-06-03T00:00:00,3:35pm,689,"  7° 5'47.94""N"," 73° 9'56.19""W",630,8.11,29.5,28.2,4.86,172.0,75.8,801,2.2,38.78,-,8.49,-,<6.3,240,<20,662,11.7,-,-,-,-,-,16000000,16000000,0.24,QCA-B-01,0.778
Red Calidad Agua,Escarpa,Quebrada Cuyamita,QCY-B-01,06/01/2015 12:00:00 AM,2015-06-03T00:00:00,8:19am,673,"  7° 6'38.29""N"," 73° 9'39.13""W",34,7.91,22.1,22,5.73,46.1,17.1,665,2.3,21.53,-,16.1,-,<6.3,16.8,<20,371,3.08,-,-,-,-,-,35000,24000,0.34,QCY-B-01,1.089
Red Calidad Agua,Escarpa,Quebrada Las Navas,QLN-B-01,06/01/2015 12:00:00 AM,2015-06-03T00:00:00,9:30am,650,"  7° 8'15.31""N"," 73° 9'11.20""W",113,7.86,24.4,22.5,6.6,104.0,31.9,417,1.6,10.4,-,3.2,-,<6.3,11,<20,250,3.44,-,-,-,-,-,540000,540000,0.33,QLN-B-01,0.24
Red Calidad Agua,Escarpa,Quebrada Chapinero,QCH-B-01,06/01/2015 12:00:00 AM,2015-06-03T00:00:00,11:45am.,657,"  7° 8'32.04""N"," 73° 9'5.63""W",105,7.89,31,24.2,6.12,90.7,32.7,590,1.8,18.74,-,2.23,-,<6.3,25,0.0,352,5.47,-,-,-,-,-,540000,350000,0.33,QCH-B-01,0.548
Red Calidad Agua,Escarpa,Quebrada La Picha,QLP-B-01,06/01/2015 12:00:00 AM,2015-06-03T00:00:00,12:30pm,659,"  7° 8'55.76""N"," 73° 8'56.34""W",40,7.19,30.5,25.6,3.3,150.0,66.4,471,2.0,12.74,-,6.33,-,14.3,40,23.3,339,8.26,-,-,-,-,-,2400000,1300000,0.28,QLP-B-01,0.188
Red Calidad Agua,Quebrada La Iglesia y Afluentes,Quebrada La Flora,QLF-B-01,06/01/2015 12:00:00 AM,2015-06-02T00:00:00,8:05am,1009,"  7° 7'9.27""N"," 73° 6'17.28""W",17,8.08,19.9,19.7,2.43,372.0,161,937,2.9,52.95,-,5.33,-,39.2,167,80.0,593,35.4,-,-,-,-,-,16000000,16000000,0.22,QLF-B-01,1.893
